Expert_ID,Hypothesis_A_ID,Hypothesis_B_ID,Dimension,human_result,source_human,human_outcome,pair_type,llm_result,source_llm,llm_outcome,pair_type_llm,_merge,model,exact_match,both_tie,human_tie_llm_not,llm_tie_human_not
E01,HUM_02,LLM_14,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_14,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_02,LLM_14,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_14,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_02,LLM_14,Testability,Tie,human,Tie,HUM-vs-LLM,LLM_14,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_03,LLM_15,Novelty,HUM_03,human,A_wins,HUM-vs-LLM,LLM_15,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_03,LLM_15,Significance,HUM_03,human,A_wins,HUM-vs-LLM,LLM_15,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_03,LLM_15,Testability,HUM_03,human,A_wins,HUM-vs-LLM,HUM_03,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_04,HUM_18,Novelty,Tie,human,Tie,HUM-vs-HUM,HUM_18,claude,B_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_04,HUM_18,Significance,Tie,human,Tie,HUM-vs-HUM,HUM_18,claude,B_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_04,HUM_18,Testability,Tie,human,Tie,HUM-vs-HUM,HUM_18,claude,B_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_12,HUM_28,Novelty,Tie,human,Tie,HUM-vs-HUM,HUM_12,claude,A_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_12,HUM_28,Significance,HUM_28,human,B_wins,HUM-vs-HUM,HUM_12,claude,A_wins,HUM-vs-HUM,both,claude,False,False,False,False
E01,HUM_12,HUM_28,Testability,HUM_12,human,A_wins,HUM-vs-HUM,HUM_12,claude,A_wins,HUM-vs-HUM,both,claude,True,False,False,False
E01,HUM_13,LLM_11,Novelty,HUM_13,human,A_wins,HUM-vs-LLM,HUM_13,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_13,LLM_11,Significance,Tie,human,Tie,HUM-vs-LLM,HUM_13,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_13,LLM_11,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_13,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_15,HUM_03,Novelty,HUM_15,human,A_wins,HUM-vs-HUM,HUM_15,claude,A_wins,HUM-vs-HUM,both,claude,True,False,False,False
E01,HUM_15,HUM_03,Significance,Tie,human,Tie,HUM-vs-HUM,HUM_15,claude,A_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_15,HUM_03,Testability,HUM_03,human,B_wins,HUM-vs-HUM,HUM_03,claude,B_wins,HUM-vs-HUM,both,claude,True,False,False,False
E01,HUM_17,LLM_02,Novelty,LLM_02,human,B_wins,HUM-vs-LLM,LLM_02,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_17,LLM_02,Significance,LLM_02,human,B_wins,HUM-vs-LLM,HUM_17,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_17,LLM_02,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_17,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
