Expert_ID,Feedback
E01,Some had too many levels included (if x then y due to z)- so part could be correct but H rejected. H with lots of scientific terms read as jargon and nonsensical; this made it hard to assess novelty (as nonsensical maybe haven't been asked before)
E03,"LLM-generated ecological hypotheses are typically highly structured, mechanism-rich, and of limited to moderate empirical operability. They are most valuable in early-stage ideation, where researchers can refine, simplify, and restructure them according to data availability."
E06,"Some hypotheses are formulated in an unspecific way, making them vague. For example, ""If local and landscape-scale urbanization increase, then corresponding changes will be observed in the total abundance and species richness of animal groups within and among local communities."" Instead of ""corresponding changes"", it could be stated whether an increase or decrease is expected. Also, it could be specific for which animal groups this should apply."
E10,"Often the hypotheses are very long and convoluted, linking several different aspects/mechanisms together in a way that is not immediately clear without further explanation and background"
E11,"Hypotheses generated by large language models (LLMs) are typically valid and well-structured, clearly presenting predictors, mechanisms, and outcomes that align with ecological theory. However, they often mix existing ideas rather than create new ones. A key challenge is that the most original hypotheses involve complex mechanisms, making them difficult to test without simplification or help from a human researcher."
E13,"I think they are too complicated. They include mechanisms as well as predicted trends. These should be separated out into different hypotheses. I deally you should be able to answer a hypothesis with a ""yes"" or a ""no"", and that is not possible with most of these."
E14,"Some hypotheses rely on multiple assumptions, making it less plausible and hard to test."
E16,"i will say (1) simplicity, and, (2) does it really connect to the real-world circumstances or it is just the combination of different terms."
E17,"There seem to be a lot of both quite complex ones, and things that are pretty obvious"
E18,"To my perspective, the issue with LLM-generated hypotheses is that they largely build on existing knowledge, at least currently. They can recombine ideas in interesting ways and identify overlooked connections, but they struggle to truly think outside the box or establish fundamentally new paradigms. As a result, if relying to much on them, things could drift toward a highly incremental and potentially stagnant phase of discovery."
E19,"Some of them too complex to be tested; other possible, but I believe very improbable. Some of them with a limited application to current needs in the field (although this should vary regionally). Still, most of them very novel."
E20,May have an option of 'either' since some questions both have high novelty.
E21,"Shortening the logical chain of hypothesis deduction (the long logical chain can be decomposed into a basic sub-hypothesis and an further sub-hypothesis), and using a knowledge base grounded in a well-validated repository of research cases as the premise for hypothesis formulation, will help improve the validity of hypotheses."
E24,"The answer option (the last one; no/tied) was not very clear. E.g. Which hypothesis exhibits a higher degree of novelty? (Required.) Hypothesis A Hypothesis B Neither (Tie) if I select Neither (Tie), does it mean that neither of the hypotheses were novel; or the novelty of both hypotheses were equal?"
E27,"While I think that LLMs have the ability to generate novel hypotheses, I have concerns that they would struggle to point out areas where group-think has led to incorrect assumptions, since they are essentially built on group-think."
E30,Some of the hypothesis were difficult to understand without a context. They were also surprisingly long which made them hard to judge.
