expert_id,feedback,sentiment_category,sentiment_score,primary_topics,pros,cons
E01,Some had too many levels included (if x then y due to z)- so part could be correct but H rejected. H with lots of scientific terms read as jargon and nonsensical; this made it hard to assess novelty (as nonsensical maybe haven't been asked before),Negative,1,"['Hypothesis complexity', 'Scientific jargon', 'Novelty assessment']",[],"['Overly complex', 'Nonsensical jargon', 'Hard to evaluate']"
E03,"LLM-generated ecological hypotheses are typically highly structured, mechanism-rich, and of limited to moderate empirical operability. They are most valuable in early-stage ideation, where researchers can refine, simplify, and restructure them according to data availability.",Mixed,3,"['ecological hypotheses', 'early-stage ideation', 'empirical operability']","['Highly structured', 'Mechanism-rich', 'Supports early ideation']","['Limited empirical operability', 'Requires refinement']"
E06,"Some hypotheses are formulated in an unspecific way, making them vague. For example, ""If local and landscape-scale urbanization increase, then corresponding changes will be observed in the total abundance and species richness of animal groups within and among local communities."" Instead of ""corresponding changes"", it could be stated whether an increase or decrease is expected. Also, it could be specific for which animal groups this should apply.",Negative,2,"['Hypothesis specificity', 'Vague formulation']",[],"['Vague formulation', 'Lack of specificity']"
E10,"Often the hypotheses are very long and convoluted, linking several different aspects/mechanisms together in a way that is not immediately clear without further explanation and background",Negative,2,"['Hypothesis complexity', 'Clarity of mechanisms']",[],"['Too long', 'Convoluted structure', 'Lacks clarity']"
E11,"Hypotheses generated by large language models (LLMs) are typically valid and well-structured, clearly presenting predictors, mechanisms, and outcomes that align with ecological theory. However, they often mix existing ideas rather than create new ones. A key challenge is that the most original hypotheses involve complex mechanisms, making them difficult to test without simplification or help from a human researcher.",Mixed,3,"['Hypothesis quality', 'Novelty', 'Testability']","['Well-structured', 'Valid', 'Theoretically aligned']","['Lacks novelty', 'Difficult to test', 'Requires human simplification']"
E13,"I think they are too complicated. They include mechanisms as well as predicted trends. These should be separated out into different hypotheses. I deally you should be able to answer a hypothesis with a ""yes"" or a ""no"", and that is not possible with most of these.",Negative,1,"['Hypothesis complexity', 'Testability', 'Hypothesis structure']",[],"['Too complicated', 'Conflates concepts', 'Not binary testable']"
E14,"Some hypotheses rely on multiple assumptions, making it less plausible and hard to test.",Negative,2,"['Testability', 'Hypothesis plausibility']",[],"['Multiple assumptions', 'Hard to test', 'Low plausibility']"
E16,"i will say (1) simplicity, and, (2) does it really connect to the real-world circumstances or it is just the combination of different terms.",Mixed,2,"['Simplicity', 'Real-world connection', 'Conceptual validity']",['Simplicity'],"['No real-world connection', 'Superficial word combinations']"
E17,"There seem to be a lot of both quite complex ones, and things that are pretty obvious",Mixed,3,"['Hypothesis complexity', 'Varied quality']",['Complex hypotheses'],['Obvious hypotheses']
E18,"To my perspective, the issue with LLM-generated hypotheses is that they largely build on existing knowledge, at least currently. They can recombine ideas in interesting ways and identify overlooked connections, but they struggle to truly think outside the box or establish fundamentally new paradigms. As a result, if relying to much on them, things could drift toward a highly incremental and potentially stagnant phase of discovery.",Mixed,3,"['Scientific novelty', 'Knowledge recombination', 'Research stagnation']","['Recombines ideas', 'Identifies connections']","['Lacks paradigm shifts', 'Risk of stagnation', 'Incremental discovery']"
E19,"Some of them too complex to be tested; other possible, but I believe very improbable. Some of them with a limited application to current needs in the field (although this should vary regionally). Still, most of them very novel.",Mixed,3,"['Hypothesis testability', 'Novelty', 'Practical relevance']",['Highly novel'],"['Too complex', 'Low probability', 'Limited application']"
E20,May have an option of 'either' since some questions both have high novelty.,Neutral,3,"['survey design', 'novelty assessment']",['High novelty'],['Limited choices']
E21,"Shortening the logical chain of hypothesis deduction (the long logical chain can be decomposed into a basic sub-hypothesis and an further sub-hypothesis), and using a knowledge base grounded in a well-validated repository of research cases as the premise for hypothesis formulation, will help improve the validity of hypotheses.",Neutral,3,"['Logical deduction', 'Knowledge grounding', 'Hypothesis validity']",[],"['Long logical chains', 'Ungrounded premises']"
E24,"The answer option (the last one; no/tied) was not very clear. E.g. Which hypothesis exhibits a higher degree of novelty? (Required.) Hypothesis A Hypothesis B Neither (Tie) if I select Neither (Tie), does it mean that neither of the hypotheses were novel; or the novelty of both hypotheses were equal?",Negative,2,"['Survey option clarity', 'Novelty evaluation']",[],"['Ambiguous options', 'Confusing tie definition']"
E27,"While I think that LLMs have the ability to generate novel hypotheses, I have concerns that they would struggle to point out areas where group-think has led to incorrect assumptions, since they are essentially built on group-think.",Mixed,3,"['Hypothesis generation', 'Group-think bias', 'Training data limitations']",['Generates novel hypotheses'],"['Reinforces group-think', 'Perpetuates incorrect assumptions']"
E30,Some of the hypothesis were difficult to understand without a context. They were also surprisingly long which made them hard to judge.,Negative,2,"['Clarity and context', 'Hypothesis length']",[],"['Lack of context', 'Excessive length', 'Hard to evaluate']"
